Ride,Date/Time,Wait Time
Pirates of the Caribbean,3/3/2019 9:50,10
Pirates of the Caribbean,3/3/2019 9:55,20
Pirates of the Caribbean,3/3/2019 10:00,20
Pirates of the Caribbean,3/3/2019 10:05,20
Pirates of the Caribbean,3/3/2019 10:10,20
Pirates of the Caribbean,3/3/2019 10:15,20
Pirates of the Caribbean,3/3/2019 10:20,25
Pirates of the Caribbean,3/3/2019 10:25,25
Pirates of the Caribbean,3/3/2019 10:30,30
Pirates of the Caribbean,3/3/2019 10:35,40
Pirates of the Caribbean,3/3/2019 10:40,40
Pirates of the Caribbean,3/3/2019 10:45,45
Pirates of the Caribbean,3/3/2019 10:50,50
Pirates of the Caribbean,3/3/2019 10:55,45
Pirates of the Caribbean,3/3/2019 11:00,45
Pirates of the Caribbean,3/3/2019 11:05,45
Pirates of the Caribbean,3/3/2019 11:10,35
Pirates of the Caribbean,3/3/2019 11:15,40
Pirates of the Caribbean,3/3/2019 11:20,40
Pirates of the Caribbean,3/3/2019 11:25,40
Pirates of the Caribbean,3/3/2019 11:30,40
Pirates of the Caribbean,3/3/2019 11:35,40
Pirates of the Caribbean,3/3/2019 11:40,40
Pirates of the Caribbean,3/3/2019 11:45,55
Pirates of the Caribbean,3/3/2019 11:50,55
Pirates of the Caribbean,3/3/2019 11:55,50
Pirates of the Caribbean,3/3/2019 12:00,50
Pirates of the Caribbean,3/3/2019 12:05,45
Pirates of the Caribbean,3/3/2019 12:10,50
Pirates of the Caribbean,3/3/2019 12:15,45
Pirates of the Caribbean,3/3/2019 12:20,50
Pirates of the Caribbean,3/3/2019 12:25,45
Pirates of the Caribbean,3/3/2019 12:30,45
Pirates of the Caribbean,3/3/2019 12:35,45
Pirates of the Caribbean,3/3/2019 12:40,55
Pirates of the Caribbean,3/3/2019 12:45,55
Pirates of the Caribbean,3/3/2019 12:50,45
Pirates of the Caribbean,3/3/2019 12:55,45
Pirates of the Caribbean,3/3/2019 13:00,55
Pirates of the Caribbean,3/3/2019 13:05,50
Pirates of the Caribbean,3/3/2019 13:10,60
Pirates of the Caribbean,3/3/2019 13:15,55
Pirates of the Caribbean,3/3/2019 13:20,60
Pirates of the Caribbean,3/3/2019 13:25,55
Pirates of the Caribbean,3/3/2019 13:30,50
Pirates of the Caribbean,3/3/2019 13:35,40
Pirates of the Caribbean,3/3/2019 13:40,40
Pirates of the Caribbean,3/3/2019 13:45,50
Pirates of the Caribbean,3/3/2019 13:50,45
Pirates of the Caribbean,3/3/2019 13:55,45
Pirates of the Caribbean,3/3/2019 14:00,45
Pirates of the Caribbean,3/3/2019 14:05,45
Pirates of the Caribbean,3/3/2019 14:10,45
Pirates of the Caribbean,3/3/2019 14:15,45
Pirates of the Caribbean,3/3/2019 14:20,50
Pirates of the Caribbean,3/3/2019 14:25,50
Pirates of the Caribbean,3/3/2019 14:30,50
